child_canonical_name,child_funder_id,child_ror,child_types,child_articles,parent_canonical_name,parent_funder_id,parent_ror
Division of Environmental Biology,F4320337400,03g87he71,funder|government,228,National Science Foundation,F4320306076,021nxhr62
Office of Advanced Cyberinfrastructure,F4320337377,04nh1dc89,funder|government,224,National Science Foundation,F4320306076,021nxhr62
Division of Mathematical Sciences,F4320337380,051fftw81,funder|government,213,National Science Foundation,F4320306076,021nxhr62
Division of Molecular and Cellular Biosciences,F4320337397,002jdaq33,funder|government,194,National Science Foundation,F4320306076,021nxhr62
Division of Integrative Organismal Systems,F4320337399,01rvays47,funder|government,180,National Science Foundation,F4320306076,021nxhr62
Division of Human Resource Development,F4320337407,03mamvh39,funder|government,175,National Science Foundation,F4320306076,021nxhr62
Office of Experimental Program to Stimulate Competitive Research,F4320338283,04k9mqs78,funder|government,164,National Science Foundation,F4320306076,021nxhr62
Division of Biological Infrastructure,F4320337398,04qn9mx93,funder|government,153,National Science Foundation,F4320306076,021nxhr62
Directorate for Mathematical and Physical Sciences,F4320332172,029b7h395,funder|government,122,National Science Foundation,F4320306076,021nxhr62
Division of Undergraduate Education,F4320337408,02kd4km72,funder|government,111,National Science Foundation,F4320306076,021nxhr62
National High Magnetic Field Laboratory,F4320313883,03s53g630,facility|funder,101,National Science Foundation,F4320306076,021nxhr62
Directorate for Engineering,F4320332170,00b6sbb32,funder|government,93,National Science Foundation,F4320306076,021nxhr62
Division of Ocean Sciences,F4320337386,05wqqhv83,funder|government,78,National Science Foundation,F4320306076,021nxhr62
Office of International Science and Engineering,F4320337370,01k638r21,funder|government,61,National Science Foundation,F4320306076,021nxhr62
Division of Atmospheric and Geospace Sciences,F4320337402,037gd6g64,funder|government,58,National Science Foundation,F4320306076,021nxhr62
Office of the Director,F4320332179,04nseet23,funder|government,58,National Science Foundation,F4320306076,021nxhr62
Division of Emerging Frontiers in Research and Innovation,F4320337395,0388pet74,funder|government,52,National Science Foundation,F4320306076,021nxhr62
Division of Behavioral and Cognitive Sciences,F4320337405,05wgkzg12,funder|government,48,National Science Foundation,F4320306076,021nxhr62
Directorate for Geosciences,F4320332171,05p847d66,funder|government,47,National Science Foundation,F4320306076,021nxhr62
Division of Earth Sciences,F4320337403,05v01mk25,funder|government,47,National Science Foundation,F4320306076,021nxhr62
Directorate for Computer and Information Science and Engineering,F4320332169,025kzpk63,funder|government,40,National Science Foundation,F4320306076,021nxhr62
Division of Physics,F4320336454,04ap5x931,funder|government,39,National Science Foundation,F4320306076,021nxhr62
Division of Information and Intelligent Systems,F4320337389,053a2cp42,funder|government,38,National Science Foundation,F4320306076,021nxhr62
Office of Integrative Activities,F4320337378,04k9mqs78,funder|government,38,National Science Foundation,F4320306076,021nxhr62
Office of Polar Programs,F4320337369,05nwjp114,funder|government,38,National Science Foundation,F4320306076,021nxhr62
"Directorate for Social, Behavioral and Economic Sciences",F4320332173,03h7mcc28,funder|government,34,National Science Foundation,F4320306076,021nxhr62
Division of Emerging Frontiers,F4320337401,01tnvpc68,funder|government,31,National Science Foundation,F4320306076,021nxhr62
Division of Engineering Education and Centers,F4320337394,050rnw378,funder|government,31,National Science Foundation,F4320306076,021nxhr62
