journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
Communications Chemistry,451,126.0,50.0,451.0,126.0,0.0,0.0,27.9,11.1,126.0,,,27.9,,
Bone Research,108,30.0,3.0,108.0,30.0,0.0,0.0,27.8,2.8,30.0,,,27.8,,
Frontiers in Genetics,1284,356.0,94.0,846.0,303.0,438.0,53.0,27.7,7.3,459.8723404255319,446.031123913544,474.27523717774653,35.8,34.737626,36.937324
Microbial Cell Factories,439,121.0,14.0,439.0,121.0,0.0,0.0,27.6,3.2,121.0,,,27.6,,
STAR Protocols,1033,283.0,231.0,4.0,0.0,1029.0,283.0,27.4,22.4,283.0,,,27.4,,
Journal of Cheminformatics,223,61.0,144.0,223.0,61.0,0.0,0.0,27.4,64.6,61.0,,,27.4,,
PNAS Nexus,698,186.0,149.0,382.0,158.0,316.0,28.0,26.6,21.3,288.5578947368421,273.2638064073009,304.4012804410241,41.3,39.149542,43.610499
Frontiers in Bioinformatics,121,32.0,23.0,76.0,27.0,45.0,5.0,26.4,19.0,42.98684210526316,38.5657282329476,48.034720655852226,35.5,31.872503,39.698116
Journal of Experimental Botany,167,44.0,12.0,103.0,39.0,64.0,5.0,26.3,7.2,63.23300970873787,57.61924328092728,69.40531644112855,37.9,34.502541,41.56007
British Journal of Cancer,274,72.0,29.0,273.0,71.0,1.0,1.0,26.3,10.6,72.0,,,26.3,,
Journal of Neuroinflammation,443,116.0,30.0,443.0,116.0,0.0,0.0,26.2,6.8,116.0,,,26.2,,
Virus Research,210,55.0,3.0,1.0,0.0,209.0,55.0,26.2,1.4,55.0,,,26.2,,
PhytoKeys,305,79.0,7.0,65.0,21.0,240.0,58.0,25.9,2.3,98.53846153846155,79.0,127.52697478494912,32.3,25.901639,41.812123
Cellular and Molecular Life Sciences,617,157.0,30.0,616.0,157.0,1.0,0.0,25.4,4.9,157.2591973244147,157.22569151568763,157.29577725616195,25.5,25.482284,25.493643
Journal of Biomedical Science,114,29.0,5.0,114.0,29.0,0.0,0.0,25.4,4.4,29.0,,,25.4,,
Lipids in Health and Disease,566,143.0,12.0,566.0,143.0,0.0,0.0,25.3,2.1,143.0,,,25.3,,
Plant Biotechnology Journal,349,88.0,18.0,154.0,55.0,195.0,33.0,25.2,5.2,124.83108108108108,110.64387347150385,140.41833872857836,35.8,31.703116,40.234481
Experimental & Molecular Medicine,219,55.0,8.0,219.0,55.0,0.0,0.0,25.1,3.7,55.0,,,25.1,,
Virulence,195,49.0,5.0,62.0,28.0,133.0,21.0,25.1,2.6,88.06451612903226,72.44795464178583,104.43204827430371,45.2,37.152797,53.554897
npj Vaccines,339,83.0,36.0,339.0,83.0,0.0,0.0,24.5,10.6,83.0,,,24.5,,
Frontiers in Plant Science,3649,883.0,126.0,2295.0,693.0,1354.0,190.0,24.2,3.5,1100.088840262582,1075.1019081350703,1125.9818121188782,30.1,29.462919,30.857271
Emerging Microbes & Infections,378,91.0,14.0,153.0,53.0,225.0,38.0,24.1,3.7,130.94117647058823,115.01088841418557,148.56439773438723,34.6,30.426161,39.302751
PLoS ONE,24182,5832.0,2236.0,24148.0,5829.0,34.0,3.0,24.1,9.2,5837.208499005964,5837.026370725825,5837.393424507552,24.1,24.137897,24.139415
Dalton Transactions,336,81.0,0.0,319.0,72.0,17.0,9.0,24.1,0.0,81.0,,,24.1,,
Microorganisms,3132,751.0,43.0,1825.0,540.0,1307.0,211.0,24.0,1.4,926.7287671232878,899.9414642668871,954.6368104180283,29.6,28.733763,30.480103
Virology Journal,457,109.0,14.0,457.0,109.0,0.0,0.0,23.9,3.1,109.0,,,23.9,,
European Journal of Clinical Microbiology & Infectious Diseases,139,33.0,4.0,139.0,33.0,0.0,0.0,23.7,2.9,33.0,,,23.7,,
Journal of Neuroscience,173,41.0,46.0,9.0,0.0,164.0,41.0,23.7,26.6,41.0,,,23.7,,
Journal of Fungi,1092,258.0,9.0,623.0,186.0,469.0,72.0,23.6,0.8,325.7181964573269,309.4725586217196,343.12929375174593,29.8,28.339978,31.422096
BMC Veterinary Research,943,223.0,17.0,943.0,223.0,0.0,0.0,23.6,1.8,223.0,,,23.6,,
RSC Chemical Biology,153,36.0,3.0,76.0,17.0,77.0,19.0,23.5,2.0,36.0,36.0,42.48020300646479,23.5,23.529412,27.764839
Acta Neuropathologica Communications,290,68.0,24.0,290.0,68.0,0.0,0.0,23.4,8.3,68.0,,,23.4,,
Journal of Translational Medicine,1409,330.0,113.0,1409.0,330.0,0.0,0.0,23.4,8.0,330.0,,,23.4,,
ZooKeys,649,151.0,16.0,161.0,52.0,488.0,99.0,23.3,2.5,209.61490683229815,176.7337109991492,246.52247675928072,32.3,27.231697,37.984973
Epigenetics,103,24.0,5.0,43.0,17.0,60.0,7.0,23.3,4.9,26.509045987088548,26.447014097326438,26.571408077043984,25.7,25.676713,25.797484
Social Cognitive and Affective Neuroscience,112,26.0,30.0,61.0,20.0,51.0,6.0,23.2,26.8,36.721311475409834,31.390827142680294,43.091998697521056,32.8,28.027524,38.474999
Biodiversity Data Journal,433,100.0,19.0,109.0,34.0,324.0,66.0,23.1,4.4,135.06422018348624,109.36558915904398,164.911868799723,31.2,25.257642,38.085882
Animal Cognition,118,27.0,26.0,118.0,27.0,0.0,0.0,22.9,22.0,27.0,,,22.9,,
Microbial Biotechnology,236,54.0,11.0,129.0,32.0,107.0,22.0,22.9,4.7,58.54263565891473,54.0,67.21935592931489,24.8,22.881356,28.482778
Cell & Bioscience,189,43.0,9.0,189.0,43.0,0.0,0.0,22.8,4.8,43.0,,,22.8,,
Veterinary Research,265,60.0,11.0,265.0,60.0,0.0,0.0,22.6,4.2,60.0,,,22.6,,
The Plant Genome,124,28.0,26.0,56.0,19.0,68.0,9.0,22.6,21.0,29.77691878536702,29.706615976969964,29.847595820649843,24.0,23.956948,24.070642
Bioinformatics Advances,310,70.0,154.0,181.0,53.0,129.0,17.0,22.6,49.7,90.77348066298342,82.84800783792662,99.80987869843747,29.3,26.725164,32.196735
Physiologia Plantarum,117,26.0,9.0,52.0,19.0,65.0,7.0,22.2,7.7,29.301466486012593,29.23426527210364,29.369025416797648,25.0,24.986552,25.101731
Biotechnology for Biofuels and Bioproducts,198,44.0,9.0,198.0,44.0,0.0,0.0,22.2,4.5,44.0,,,22.2,,
Antimicrobial Resistance and Infection Control,189,42.0,5.0,189.0,42.0,0.0,0.0,22.2,2.6,42.0,,,22.2,,
Database,131,29.0,27.0,48.0,16.0,83.0,13.0,22.1,20.6,29.15418028213916,29.068369501301575,29.240447839910843,22.3,22.189595,22.320953
Genetics Selection Evolution,104,23.0,14.0,104.0,23.0,0.0,0.0,22.1,13.5,23.0,,,22.1,,
Molecular Metabolism,255,56.0,8.0,2.0,1.0,253.0,55.0,22.0,3.1,56.0,,,22.0,,
Journal of Racial and Ethnic Health Disparities,157,34.0,7.0,157.0,34.0,0.0,0.0,21.7,4.5,34.0,,,21.7,,
International Journal of Molecular Medicine,102,22.0,2.0,75.0,19.0,27.0,3.0,21.6,2.0,25.84,23.552178304946,28.776845966504606,25.3,23.090371,28.212594
npj Breast Cancer,148,32.0,22.0,148.0,32.0,0.0,0.0,21.6,14.9,32.0,,,21.6,,
Biology of Sex Differences,125,27.0,17.0,125.0,27.0,0.0,0.0,21.6,13.6,27.0,,,21.6,,
Human Genomics,163,35.0,14.0,163.0,35.0,0.0,0.0,21.5,8.6,35.0,,,21.5,,
Experimental Brain Research,130,28.0,31.0,130.0,28.0,0.0,0.0,21.5,23.8,28.0,,,21.5,,
Bioinformatics,946,202.0,433.0,512.0,164.0,434.0,38.0,21.4,45.8,302.9823182711198,286.0315801546979,321.1018879570933,32.0,30.235896,33.943117
npj Microgravity,117,25.0,18.0,117.0,25.0,0.0,0.0,21.4,15.4,25.0,,,21.4,,
Frontiers in Molecular Biosciences,543,116.0,25.0,339.0,92.0,204.0,24.0,21.4,4.6,148.53012048192772,139.27121211179121,158.8292638268656,27.4,25.648474,29.250325
Open Biology,147,31.0,9.0,1.0,1.0,146.0,30.0,21.1,6.1,31.0,,,21.1,,
npj Parkinson s Disease,371,77.0,90.0,370.0,77.0,1.0,0.0,20.8,24.3,77.2081081081081,77.16984654101657,77.2523686431684,20.8,20.800498,20.822741
Molecular Plant Pathology,154,32.0,11.0,85.0,24.0,69.0,8.0,20.8,7.1,43.48235294117647,37.64041645878123,50.62304570308888,28.2,24.441829,32.872108
Pathogens,1185,245.0,10.0,687.0,169.0,498.0,76.0,20.7,0.8,291.50655021834064,276.2008359392483,308.2190623413416,24.6,23.308087,26.010047
Viruses,2076,428.0,26.0,1209.0,297.0,867.0,131.0,20.6,1.3,509.98511166253104,489.66697960319004,531.7001779877105,24.6,23.587041,25.611762
Aging Cell,404,83.0,40.0,184.0,64.0,220.0,19.0,20.5,9.9,141.79005524861878,127.28177731047626,157.63718465479562,35.1,31.50539,39.019105
International Journal of Behavioral Nutrition and Physical Activity,172,35.0,8.0,172.0,35.0,0.0,0.0,20.3,4.7,35.0,,,20.3,,
The FASEB Journal,266,54.0,8.0,156.0,42.0,110.0,12.0,20.3,3.0,70.359375,62.88547151081557,79.38578733313051,26.5,23.641155,29.844281
Journal of Insect Science,153,31.0,20.0,84.0,22.0,69.0,9.0,20.3,13.1,40.07142857142857,34.40506171788361,47.17474557160109,26.2,22.486968,30.833167
Veterinary Research Communications,138,28.0,4.0,138.0,28.0,0.0,0.0,20.3,2.9,28.0,,,20.3,,
BMC Research Notes,619,125.0,30.0,619.0,125.0,0.0,0.0,20.2,4.8,125.0,,,20.2,,
Cell Communication and Signaling,690,138.0,20.0,690.0,138.0,0.0,0.0,20.0,2.9,138.0,,,20.0,,
mSystems,479,96.0,61.0,3.0,2.0,476.0,94.0,20.0,12.7,96.0,,,20.0,,
Frontiers in Veterinary Science,2238,442.0,29.0,1443.0,349.0,795.0,93.0,19.7,1.3,540.9916724496877,523.9847637708115,559.0914079008791,24.2,23.413081,24.981743
Journal of Extracellular Vesicles,188,37.0,9.0,90.0,20.0,98.0,17.0,19.7,4.8,41.77777777777777,37.0,51.210552686924714,22.2,19.680851,27.239656
Archives of Sexual Behavior,148,29.0,17.0,148.0,29.0,0.0,0.0,19.6,11.5,29.0,,,19.6,,
Discover Oncology,1761,341.0,90.0,1761.0,341.0,0.0,0.0,19.4,5.1,341.0,,,19.4,,
Journal of Genetic Engineering and Biotechnology,124,24.0,1.0,0.0,0.0,124.0,24.0,19.4,0.8,24.0,,,19.4,,
Journal of Bacteriology,119,23.0,7.0,0.0,0.0,119.0,23.0,19.3,5.9,23.0,,,19.3,,
Blood Cancer Journal,140,27.0,10.0,140.0,27.0,0.0,0.0,19.3,7.1,27.0,,,19.3,,
Frontiers in Molecular Neuroscience,250,48.0,9.0,159.0,40.0,91.0,8.0,19.2,3.6,62.893081761006286,57.33813325150039,69.51467094595284,25.2,22.935253,27.805868
Diabetology & Metabolic Syndrome,456,86.0,8.0,456.0,86.0,0.0,0.0,18.9,1.8,86.0,,,18.9,,
Molecular Oncology,186,35.0,24.0,87.0,25.0,99.0,10.0,18.8,12.9,53.77906976744186,45.327113451009595,64.00306766775944,28.9,24.369416,34.410251
Journal of Medicinal Chemistry,296,55.0,4.0,31.0,12.0,265.0,43.0,18.6,1.4,55.0,,,18.6,,
Breast Cancer Research,281,52.0,21.0,281.0,52.0,0.0,0.0,18.5,7.5,52.0,,,18.5,,
ChemBioChem,119,22.0,2.0,63.0,14.0,56.0,8.0,18.5,1.7,22.87510958794931,22.817213157504675,22.93331420524105,19.2,19.174129,19.271693
BMC Medicine,788,145.0,82.0,788.0,145.0,0.0,0.0,18.4,10.4,145.0,,,18.4,,
BMC Biotechnology,152,28.0,0.0,152.0,28.0,0.0,0.0,18.4,0.0,28.0,,,18.4,,
Biological Research,120,22.0,5.0,120.0,22.0,0.0,0.0,18.3,4.2,22.0,,,18.3,,
Plant Cell & Environment,110,20.0,10.0,45.0,14.0,65.0,6.0,18.2,9.1,24.301466486012593,24.23426527210364,24.369025416797648,22.1,22.03115,22.153659
Emerging infectious diseases,615,112.0,25.0,2.0,0.0,613.0,112.0,18.2,4.1,112.0,,,18.2,,
Animal nutrition,182,33.0,2.0,0.0,0.0,182.0,33.0,18.1,1.1,33.0,,,18.1,,
npj Science of Food,188,34.0,18.0,188.0,34.0,0.0,0.0,18.1,9.6,34.0,,,18.1,,
Frontiers in Immunology,5876,1059.0,233.0,3856.0,837.0,2020.0,222.0,18.0,4.0,1275.6496350364964,1249.871614185083,1302.5708799011313,21.7,21.27079,22.167646
Brain,189,34.0,18.0,127.0,29.0,62.0,5.0,18.0,9.5,43.269841269841265,39.24856807165401,48.28109884557436,22.9,20.766438,25.545555
European Journal of Human Genetics,184,33.0,12.0,184.0,33.0,0.0,0.0,17.9,6.5,33.0,,,17.9,,
Cellular & Molecular Biology Letters,173,31.0,7.0,173.0,31.0,0.0,0.0,17.9,4.0,31.0,,,17.9,,
Nutrition Journal,218,39.0,7.0,218.0,39.0,0.0,0.0,17.9,3.2,39.0,,,17.9,,
The EMBO Journal,403,72.0,67.0,12.0,12.0,391.0,60.0,17.9,16.6,73.96728301586037,73.56304186757728,74.37367596873662,18.4,18.253857,18.455006
Cell Death Discovery,652,116.0,21.0,652.0,116.0,0.0,0.0,17.8,3.2,116.0,,,17.8,,
Human Brain Mapping,462,82.0,129.0,216.0,61.0,246.0,21.0,17.7,27.9,130.47222222222223,116.73867356360645,146.07650245403536,28.2,25.268111,31.618291
Neoplasia,177,31.0,8.0,0.0,0.0,177.0,31.0,17.5,4.5,31.0,,,17.5,,
Briefings in Bioinformatics,895,156.0,339.0,377.0,110.0,518.0,46.0,17.4,37.9,261.1405835543767,238.55393748816002,285.90321425156594,29.2,26.654071,31.944493
Hereditas,161,28.0,8.0,161.0,28.0,0.0,0.0,17.4,5.0,28.0,,,17.4,,
Cell Biology and Toxicology,178,31.0,4.0,178.0,31.0,0.0,0.0,17.4,2.2,31.0,,,17.4,,
Life Science Alliance,352,61.0,25.0,0.0,0.0,352.0,61.0,17.3,7.1,61.0,,,17.3,,
Clinical and Translational Medicine,394,68.0,14.0,189.0,47.0,205.0,21.0,17.3,3.6,97.97883597883597,86.45650046906763,111.55387903411012,24.9,21.943274,28.313167
Frontiers in Nutrition,2356,407.0,27.0,1469.0,328.0,887.0,79.0,17.3,1.1,526.0503744043567,507.81459671467456,545.5665603629093,22.3,21.5541,23.156475
Nutrition & Metabolism,150,26.0,5.0,150.0,26.0,0.0,0.0,17.3,3.3,26.0,,,17.3,,
Aging,751,129.0,50.0,605.0,105.0,146.0,24.0,17.2,6.7,130.46511627906978,129.0,135.18851394247983,17.4,17.177097,18.001134
Genes,1815,313.0,30.0,1051.0,242.0,764.0,71.0,17.2,1.7,417.3561904761905,398.6969309585873,437.52201959337424,23.0,21.966773,24.105896
Journal of Vision,244,42.0,37.0,1.0,0.0,243.0,42.0,17.2,15.2,42.0,,,17.2,,
Chemistry - A European Journal,485,83.0,3.0,328.0,67.0,157.0,16.0,17.1,0.6,101.3681592039801,93.266855079195,111.12476068635263,20.9,19.230279,22.912322
Cellular and Molecular Gastroenterology and Hepatology,114,19.0,3.0,0.0,0.0,114.0,19.0,16.7,2.6,19.0,,,16.7,,
Synthetic and Systems Biotechnology,168,28.0,13.0,0.0,0.0,168.0,28.0,16.7,7.7,28.0,,,16.7,,
JHEP Reports,240,40.0,8.0,0.0,0.0,240.0,40.0,16.7,3.3,40.0,,,16.7,,
BMC Immunology,114,19.0,3.0,114.0,19.0,0.0,0.0,16.7,2.6,19.0,,,16.7,,
Cerebral Cortex,156,26.0,30.0,57.0,18.0,99.0,8.0,16.7,19.2,50.4,39.594766731936915,63.43805358566152,32.3,25.381261,40.665419
Infectious Diseases of Poverty,120,20.0,8.0,120.0,20.0,0.0,0.0,16.7,6.7,20.0,,,16.7,,
Fluids and Barriers of the CNS,145,24.0,11.0,145.0,24.0,0.0,0.0,16.6,7.6,24.0,,,16.6,,
International Journal of Microbiology,109,18.0,0.0,15.0,5.0,94.0,13.0,16.5,0.0,19.897505379772056,19.80032208581142,19.995205987368905,18.3,18.165433,18.344226
Translational Psychiatry,611,100.0,100.0,611.0,100.0,0.0,0.0,16.4,16.4,100.0,,,16.4,,
Chemical Science,2486,407.0,104.0,1292.0,209.0,1194.0,198.0,16.4,4.2,407.0,407.0,425.5208218787625,16.4,16.371681,17.116686
eNeuro,461,75.0,116.0,2.0,0.0,459.0,75.0,16.3,25.2,75.0,,,16.3,,
Diabetologia,208,34.0,16.0,208.0,34.0,0.0,0.0,16.3,7.7,34.0,,,16.3,,
Communications Engineering,185,30.0,47.0,185.0,30.0,0.0,0.0,16.2,25.4,30.0,,,16.2,,
Biology Direct,198,32.0,13.0,198.0,32.0,0.0,0.0,16.2,6.6,32.0,,,16.2,,
European Journal of Epidemiology,105,17.0,18.0,105.0,17.0,0.0,0.0,16.2,17.1,17.0,,,16.2,,
The Journal of Infectious Diseases,240,39.0,17.0,165.0,35.0,75.0,4.0,16.2,7.1,50.296052631578945,46.067263333626755,55.619526329723726,21.0,19.194693,23.174803
Open Forum Infectious Diseases,893,145.0,19.0,559.0,141.0,334.0,4.0,16.2,2.1,225.70143884892087,214.21563569795282,238.31669773350353,25.3,23.988313,26.6872
Journal of Lipid Research,257,41.0,9.0,1.0,0.0,256.0,41.0,16.0,3.5,41.0,,,16.0,,
Frontiers in Cell and Developmental Biology,842,135.0,25.0,577.0,116.0,265.0,19.0,16.0,3.0,168.90798611111111,160.79687365136883,178.07373376969238,20.1,19.097016,21.148899
Insects,1431,228.0,11.0,812.0,161.0,619.0,67.0,15.9,0.8,282.65760197775035,266.61181582627626,300.47892559247003,19.8,18.631154,20.997828
Science Advances,3594,570.0,293.0,954.0,352.0,2640.0,218.0,15.9,8.2,1327.1101783840504,1247.7491485432765,1409.2405876889272,36.9,34.717561,39.210923
European Journal of Neuroscience,146,23.0,22.0,76.0,22.0,70.0,1.0,15.8,15.1,33.09388698493664,33.021516446880845,33.16664275655131,22.7,22.617477,22.716879
Frontiers in Aging,120,19.0,5.0,80.0,17.0,40.0,2.0,15.8,4.2,25.5,22.4849096868142,29.568944247271034,21.2,18.737425,24.640787
Molecular Therapy Oncology,183,29.0,5.0,19.0,2.0,164.0,27.0,15.8,2.7,29.0,,,15.8,,
Journal of Chemical Information and Modeling,358,56.0,66.0,45.0,14.0,313.0,42.0,15.6,18.4,63.605523232645254,63.28192354105292,63.930845468579435,17.8,17.676515,17.857778
Microbiology Spectrum,1737,269.0,78.0,4.0,1.0,1733.0,268.0,15.5,4.5,275.6529449270742,273.8612571777786,277.45416995862035,15.9,15.766336,15.973182
Developmental Cognitive Neuroscience,168,26.0,23.0,0.0,0.0,168.0,26.0,15.5,13.7,26.625328763847932,26.451639472514028,26.799942615723147,15.8,15.745023,15.952347
Frontiers in Endocrinology,2649,411.0,76.0,1729.0,301.0,920.0,110.0,15.5,2.9,461.2546296296297,445.47215932574557,478.3669003203561,17.4,16.816616,18.058396
BMC Gastroenterology,802,124.0,17.0,801.0,124.0,1.0,0.0,15.5,2.1,124.155,124.13157578602652,124.18172175916149,15.5,15.477753,15.484005
mSphere,438,68.0,21.0,1.0,0.0,437.0,68.0,15.5,4.8,69.25755160596158,68.80575267552756,69.71175549447032,15.8,15.709076,15.915926
EMBO Reports,401,62.0,28.0,4.0,4.0,397.0,58.0,15.5,7.0,66.91818761456922,66.50774327730994,67.33081677644101,16.7,16.585472,16.790727
The Analyst,104,16.0,8.0,86.0,11.0,18.0,5.0,15.4,7.7,16.0,,,15.4,,
Molecular Therapy — Nucleic Acids,369,56.0,26.0,51.0,5.0,318.0,51.0,15.2,7.0,56.0,56.0,71.71159805516076,15.2,15.176152,19.434037
mBio,965,147.0,51.0,20.0,14.0,945.0,133.0,15.2,5.3,163.76747429664462,162.79047203289142,164.7496772134427,17.0,16.869479,17.072505
New Phytologist,219,33.0,19.0,103.0,24.0,116.0,9.0,15.1,8.7,59.151515151515156,47.842487691471916,72.97408008475315,27.0,21.845885,33.321498
Neuropsychopharmacology,159,24.0,12.0,159.0,24.0,0.0,0.0,15.1,7.5,24.0,,,15.1,,
Physical Chemistry Chemical Physics,539,81.0,35.0,495.0,67.0,44.0,14.0,15.0,6.5,81.0,81.0,81.93824332811951,15.0,15.027829,15.2019
Non-coding RNA Research,120,18.0,3.0,0.0,0.0,120.0,18.0,15.0,2.5,19.018091974177096,18.894028194652876,19.142816154087964,15.8,15.745023,15.952347
Clinical Infectious Diseases,155,23.0,8.0,107.0,23.0,48.0,0.0,14.8,5.2,32.9622641509434,29.77978096405732,37.126658854736284,21.3,19.212762,23.952683
BMC Infectious Diseases,1953,287.0,54.0,1953.0,287.0,0.0,0.0,14.7,2.8,287.0,,,14.7,,
Applied and Environmental Microbiology,428,63.0,27.0,1.0,1.0,427.0,62.0,14.7,6.3,68.67271060811349,68.23125032597315,69.116520814963,16.0,15.941881,16.14872
Molecular Therapy — Methods & Clinical Development,260,38.0,16.0,37.0,4.0,223.0,34.0,14.6,6.2,39.341954252012435,39.111402395063266,39.573733353013466,15.1,15.042847,15.220667
GeroScience,449,65.0,36.0,449.0,65.0,0.0,0.0,14.5,8.0,65.0,,,14.5,,
Scientific Reports,49520,7168.0,3539.0,49504.0,7167.0,16.0,1.0,14.5,7.1,7169.316282828283,7169.2671273275455,7169.366320465323,14.5,14.477518,14.477719
FEBS Open Bio,181,26.0,6.0,80.0,19.0,101.0,7.0,14.4,3.3,42.61038961038961,34.482793367675455,53.29357919298639,23.5,19.051267,29.443966
Computational and Structural Biotechnology Journal,575,83.0,107.0,1.0,0.0,574.0,83.0,14.4,18.6,90.96987327648044,90.37643486442293,91.56647060372076,15.8,15.717641,15.924604
Vavilov Journal of Genetics and Breeding,140,20.0,2.0,50.0,8.0,90.0,12.0,14.3,1.4,22.4,20.0,33.663032865589386,16.0,14.285714,24.045023
Molecular Medicine Reports,251,36.0,7.0,203.0,33.0,48.0,3.0,14.3,2.8,41.0,38.78886314793463,43.838844142038496,16.3,15.45373,17.465675
Crystal Growth & Design,105,15.0,1.0,7.0,4.0,98.0,11.0,14.3,1.0,19.531441778911294,19.430123025633183,19.633299859171835,18.6,18.504879,18.698381
Journal of Veterinary Research,105,15.0,0.0,0.0,0.0,105.0,15.0,14.3,0.0,16.640830477404958,16.532274670321268,16.749964134826968,15.8,15.745023,15.952347
Development,212,30.0,26.0,2.0,2.0,210.0,28.0,14.2,12.3,35.281660954809915,35.064549340642536,35.499928269653935,16.6,16.539882,16.745249
Redox Biology,558,79.0,9.0,0.0,0.0,558.0,79.0,14.2,1.6,88.43412767992349,87.85723110513588,89.01409511650903,15.8,15.745023,15.952347
Alzheimer s Research & Therapy,371,52.0,28.0,371.0,52.0,0.0,0.0,14.0,7.5,52.0,,,14.0,,
Molecular Biology of the Cell,221,31.0,14.0,1.0,1.0,220.0,30.0,14.0,6.3,35.866501952658005,35.63905169019694,36.095162949161264,16.2,16.126268,16.332653
Cancer Cell International,503,70.0,21.0,503.0,70.0,0.0,0.0,13.9,4.2,70.0,,,13.9,,
Cell Proliferation,151,21.0,5.0,68.0,17.0,83.0,4.0,13.9,3.3,38.378787878787875,30.901427097094242,48.06966176684931,25.4,20.464521,31.834213
Journal of Health Population and Nutrition,382,53.0,6.0,382.0,53.0,0.0,0.0,13.9,1.6,53.0,,,13.9,,
Journal of Medical Virology,159,22.0,2.0,83.0,14.0,76.0,8.0,13.8,1.3,25.793103448275865,22.0,34.470009524678346,16.2,13.836478,21.679251
Journal of Microbiology and Biotechnology,304,42.0,3.0,0.0,0.0,304.0,42.0,13.8,1.0,48.17916633458197,47.86487142645395,48.49513425702284,15.8,15.745023,15.952347
Biology Methods and Protocols,116,16.0,19.0,65.0,12.0,51.0,4.0,13.8,16.4,21.415384615384617,17.553270342812123,27.07265351717951,18.5,15.13213,23.338494
Journal of Antimicrobial Chemotherapy,182,25.0,5.0,98.0,17.0,84.0,8.0,13.7,2.7,31.57142857142857,26.342513551045705,38.86962765647657,17.3,14.473909,21.356938
The Journal of Clinical Endocrinology & Metabolism,227,31.0,7.0,129.0,29.0,98.0,2.0,13.7,3.1,51.61538461538461,45.04461113033966,59.86371183128945,22.7,19.843441,26.371679
Frontiers in Toxicology,131,18.0,8.0,75.0,15.0,56.0,3.0,13.7,6.1,26.200000000000003,22.006741393747365,32.03043694865056,20.0,16.799039,24.450715
Environmental Health,124,17.0,2.0,124.0,17.0,0.0,0.0,13.7,1.6,17.0,,,13.7,,
Genes & Diseases,205,28.0,5.0,0.0,0.0,205.0,28.0,13.7,2.4,32.48924045588587,32.27729816586533,32.70231092990027,15.8,15.745023,15.952347
The Journal of Infection in Developing Countries,161,22.0,1.0,161.0,22.0,0.0,0.0,13.7,0.6,22.0,,,13.7,,
One Health,278,37.0,7.0,0.0,0.0,278.0,37.0,13.3,2.5,44.05857974017694,43.7711653176125,44.34752409030378,15.8,15.745023,15.952347
Frontiers in Human Neuroscience,581,77.0,27.0,385.0,62.0,196.0,15.0,13.3,4.6,93.56363636363636,87.02917251940733,101.41082978487287,16.1,14.979204,17.454532
Plant Signaling & Behavior,113,15.0,4.0,65.0,10.0,48.0,5.0,13.3,3.5,17.384615384615387,15.0,22.50666193600934,15.4,13.274336,19.9174
Inorganic Chemistry,550,73.0,1.0,57.0,28.0,493.0,45.0,13.3,0.2,278.9818181818182,215.71486934889833,341.6635567985891,50.7,39.220885,62.120647
Cardiovascular Diabetology,621,82.0,14.0,621.0,82.0,0.0,0.0,13.2,2.3,82.0,,,13.2,,
Molecular Biology Reports,151,20.0,4.0,151.0,20.0,0.0,0.0,13.2,2.6,20.0,,,13.2,,
Schizophrenia,189,25.0,26.0,189.0,25.0,0.0,0.0,13.2,13.8,25.0,,,13.2,,
The Innovation,130,17.0,12.0,15.0,1.0,115.0,16.0,13.1,9.2,19.225671475253048,19.106777019875672,19.345198814334296,14.8,14.697521,14.880922
BMC Public Health,5185,680.0,129.0,5185.0,680.0,0.0,0.0,13.1,2.5,680.0,,,13.1,,
BMC Endocrine Disorders,360,47.0,8.0,360.0,47.0,0.0,0.0,13.1,2.2,47.0,,,13.1,,
Conservation Physiology,123,16.0,14.0,51.0,15.0,72.0,1.0,13.0,11.4,36.17647058823529,28.47016697302466,45.959521438691986,29.4,23.146477,37.365465
Journal of Applied Crystallography,171,22.0,29.0,0.0,0.0,171.0,22.0,12.9,17.0,27.10078106320236,26.92399017738035,27.278513019575346,15.8,15.745023,15.952347
Beilstein Journal of Organic Chemistry,303,39.0,4.0,105.0,15.0,198.0,24.0,12.9,1.3,43.285714285714285,39.0,59.03543915446542,14.3,12.871287,19.483643
RSC Medicinal Chemistry,110,14.0,4.0,51.0,7.0,59.0,7.0,12.7,3.6,16.35056188730374,16.289563862370997,16.41188460909325,14.9,14.808694,14.919895
Veterinary Medicine International,102,13.0,2.0,25.0,5.0,77.0,8.0,12.7,2.0,17.203275683430302,17.12366809156893,17.283307032206444,16.9,16.78791,16.944419
Journal of Intelligence,157,20.0,12.0,88.0,15.0,69.0,5.0,12.7,7.6,26.761363636363633,22.32140287841845,33.10357229623008,17.0,14.217454,21.085078
The Journal of Cell Biology,261,33.0,21.0,1.0,0.0,260.0,33.0,12.6,8.0,41.20586594405037,40.937061088414566,41.476101667190584,15.8,15.684698,15.891227
Frontiers in Big Data,111,14.0,9.0,73.0,13.0,38.0,1.0,12.6,8.1,19.767123287671232,17.071043386143124,23.686338032255243,17.8,15.379318,21.339043
