journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
European Journal of Sport Science,211,6.0,12.0,117.0,6.0,94.0,0.0,2.8,5.7,10.820512820512821,8.228933196082771,16.093896028290292,5.1,3.899968,7.627439
Annals of Hematology,328,9.0,4.0,328.0,9.0,0.0,0.0,2.7,1.2,9.0,,,2.7,,
Interactive Journal of Medical Research,110,3.0,4.0,15.0,2.0,95.0,1.0,2.7,3.6,17.055989479556867,16.95777232076686,17.15472945531964,15.5,15.416157,15.595209
Cancer,149,4.0,3.0,89.0,3.0,60.0,1.0,2.7,2.0,6.2727272727272725,4.123372558050005,11.911976582693956,4.2,2.767364,7.994615
The Journal of Prevention of Alzheimer s Disease,147,4.0,4.0,2.0,0.0,145.0,4.0,2.7,2.7,22.980194468797322,22.83028406853889,23.130902852856288,15.6,15.530805,15.735308
Epilepsia,147,4.0,5.0,56.0,3.0,91.0,1.0,2.7,3.4,17.42205308041763,17.327971380945097,17.516635583516702,11.9,11.787736,11.916079
Pharmaceuticals,1846,49.0,10.0,1096.0,41.0,750.0,8.0,2.7,0.5,69.15934065934066,61.84672013511523,78.90374161045094,3.7,3.35031,4.274309
Translational Andrology and Urology,296,8.0,4.0,0.0,0.0,296.0,8.0,2.7,1.4,46.9112935363035,46.605269546810426,47.218946513416974,15.8,15.745023,15.952347
BMC Emergency Medicine,294,8.0,5.0,294.0,8.0,0.0,0.0,2.7,1.7,8.0,,,2.7,,
Cancer Research and Treatment,110,3.0,2.0,59.0,2.0,51.0,1.0,2.7,1.8,10.082689089025266,10.029961982727473,10.135696865487384,9.2,9.118147,9.21427
Diabetes Obesity and Metabolism,185,5.0,7.0,63.0,4.0,122.0,1.0,2.7,3.8,23.33506017374671,23.208928664563757,23.46186308998943,12.6,12.545367,12.682088
Journal of Pain Research,523,14.0,8.0,250.0,11.0,273.0,3.0,2.7,1.5,23.012,17.754986862005858,32.036977890816374,4.4,3.394835,6.125617
Biomacromolecules,192,5.0,3.0,20.0,2.0,172.0,3.0,2.6,1.6,29.25926516298717,29.08144041233579,29.43803648752608,15.2,15.146584,15.332311
Pulmonary Circulation,193,5.0,6.0,95.0,3.0,98.0,2.0,2.6,3.1,6.094736842105263,5.0,11.699701887491536,3.2,2.590674,6.062022
Drug and Alcohol Dependence Reports,117,3.0,2.0,0.0,0.0,117.0,3.0,2.6,1.7,18.542639674822667,18.421677489786553,18.664245750235764,15.8,15.745023,15.952347
Antimicrobial Stewardship & Healthcare Epidemiology,304,8.0,4.0,121.0,6.0,183.0,2.0,2.6,1.3,15.074380165289256,10.194609170005796,25.026919551189696,5.0,3.35349,8.232539
