journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Environmental Science and Pollution Research,721,537.0,658.0,474.0,537.0,False,False
Frontiers in Sports and Active Living,721,721.0,311.0,311.0,457.0,False,False
Oncology Letters,717,678.0,387.0,348.0,474.0,False,False
Journal for ImmunoTherapy of Cancer,715,715.0,6.0,6.0,13.0,False,True
Parasites & Vectors,704,703.0,536.0,535.0,703.0,False,False
PNAS Nexus,698,696.0,3.0,1.0,381.0,True,False
JCI Insight,691,691.0,16.0,16.0,23.0,False,True
Cell Communication and Signaling,690,690.0,501.0,501.0,690.0,False,False
Orthopaedic Journal of Sports Medicine,683,683.0,0.0,0.0,160.0,True,False
EBioMedicine,681,681.0,7.0,7.0,7.0,False,True
Environmental Science & Technology,681,679.0,3.0,1.0,87.0,True,False
Annals of Medicine,675,675.0,0.0,0.0,206.0,True,False
ACS Nano,675,660.0,17.0,2.0,66.0,True,False
Nanoscale Advances,669,664.0,275.0,270.0,330.0,False,False
CNS Neuroscience & Therapeutics,668,668.0,45.0,45.0,284.0,True,False
Frontiers in Chemistry,662,662.0,317.0,317.0,424.0,False,False
Renal Failure,658,658.0,0.0,0.0,294.0,True,False
BMC Anesthesiology,657,657.0,477.0,477.0,657.0,False,False
Cell Death Discovery,652,652.0,479.0,479.0,652.0,False,False
Journal of Multidisciplinary Healthcare,651,651.0,170.0,170.0,256.0,False,False
ZooKeys,649,649.0,151.0,151.0,161.0,False,False
PLoS Biology,648,648.0,266.0,266.0,648.0,False,False
Current Oncology,645,631.0,152.0,138.0,345.0,False,False
Cell Reports,645,645.0,25.0,25.0,268.0,True,False
Orphanet Journal of Rare Diseases,642,641.0,456.0,455.0,641.0,False,False
BMC Neurology,641,641.0,483.0,483.0,640.0,False,False
EClinicalMedicine,639,639.0,4.0,4.0,4.0,False,True
Translational Cancer Research,635,635.0,0.0,0.0,0.0,False,True
JAAD Case Reports,634,634.0,0.0,0.0,0.0,False,True
Marine Drugs,623,622.0,154.0,153.0,369.0,False,False
Cardiovascular Diabetology,621,621.0,454.0,454.0,621.0,False,False
BMC Research Notes,619,619.0,450.0,450.0,619.0,False,False
Physiological Reports,617,617.0,48.0,48.0,331.0,True,False
Cellular and Molecular Life Sciences,617,599.0,471.0,453.0,599.0,False,False
