funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group
Shanxi Provincial Key Research and Development Project,China,137,20,1,14.6,0.7,,F4320336035,False
Science and Technology Commission of Shanghai Municipality,China,1033,150,61,14.5,5.9,,F4320321885,False
Helsingin ja Uudenmaan Sairaanhoitopiiri,Finland,117,17,9,14.5,7.7,,F4320310467,False
Sapienza Università di Roma,Italy,186,27,10,14.5,5.4,,F4320322510,False
European Social Fund,EU,454,66,31,14.5,6.8,government,F4320338080,True
H2020 European Research Council,,2074,300,231,14.5,11.1,,F4320338335,False
Natural Science Foundation of Jilin Province,China,382,55,16,14.4,4.2,,F4320310121,False
Università degli Studi di Milano,Italy,308,44,20,14.3,6.5,,F4320313475,False
H2020 Marie Skłodowska-Curie Actions,,1087,155,111,14.3,10.2,,F4320338337,False
European and Developing Countries Clinical Trials Partnership,Netherlands,279,40,23,14.3,8.2,,F4320338462,False
Science and Technology Facilities Council,UK,230,33,31,14.3,13.5,,F4320334632,False
Basic Energy Sciences,USA,739,106,55,14.3,7.4,,F4320337480,False
F. Hoffmann-La Roche,Switzerland,133,19,15,14.3,11.3,,F4320309432,False
Thailand Science Research and Innovation,Thailand,245,35,5,14.3,2.0,,F4320329659,False
Huazhong University of Science and Technology,China,120,17,4,14.2,3.3,,F4320321883,False
National Heart Foundation of Australia,Australia,106,15,6,14.2,5.7,,F4320320442,False
Stockholms Läns Landsting,Sweden,106,15,9,14.2,8.5,,F4320322570,False
Narodowa Agencja Wymiany Akademickiej,Poland,176,25,15,14.2,8.5,,F4320328499,False
University of Tokyo,Japan,304,43,26,14.1,8.6,,F4320322832,False
University of Southern California,USA,256,36,24,14.1,9.4,,F4320308668,False
Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul,Brazil,142,20,5,14.1,3.5,,F4320322502,False
Indian Council of Medical Research,India,411,58,17,14.1,4.1,,F4320320720,False
Social Sciences and Humanities Research Council of Canada,Canada,375,53,34,14.1,9.1,,F4320334617,False
Junta de Castilla y León,Spain,121,17,5,14.0,4.1,,F4320328351,False
Universidad Nacional Autónoma de México,Mexico,200,28,13,14.0,6.5,,F4320323401,False
Universitat de Barcelona,Spain,164,23,11,14.0,6.7,,F4320323428,False
Debreceni Egyetem,HU,114,16,8,14.0,7.0,,F4320325658,False
Natural Science Foundation of Guangdong Province,China,1249,175,36,14.0,2.9,,F4320321921,False
Natural Science Foundation of Guangxi Zhuang Autonomous Region,China,171,24,5,14.0,2.9,,F4320313613,False
Guangzhou Municipal Science and Technology Project,China,394,55,16,14.0,4.1,,F4320335480,False
Ministry of Oceans and Fisheries,Korea,129,18,4,14.0,3.1,,F4320322011,False
Cambridge Biomedical Research Centre,UK,331,46,46,13.9,13.9,government,F4320336709,True
"Ministry of Agriculture, Food and Rural Affairs",Korea,173,24,2,13.9,1.2,,F4320322033,False
VINNOVA,Sweden,209,29,20,13.9,9.6,,F4320321030,False
Erasmus+,,173,24,10,13.9,5.8,,F4320335551,False
NIHR Maudsley Biomedical Research Centre,UK,108,15,14,13.9,13.0,,F4320334412,False
Crafoordska Stiftelsen,Sweden,108,15,12,13.9,11.1,,F4320321761,False
"National Scientific and Technical Research Council (CONICET, Argentina)",AR,345,48,26,13.9,7.5,,F4320321594,False
China Postdoctoral Science Foundation,China,2930,405,112,13.8,3.8,government,F4320321543,True
Science and Technology Program of Zhejiang Province,China,160,22,5,13.8,3.1,,F4320338469,False
Iran National Science Foundation,Iran,152,21,7,13.8,4.6,,F4320322243,False
Instituto de Salud Carlos III,Spain,1589,218,87,13.7,5.5,,F4320334923,False
National Institute of Standards and Technology,USA,117,16,13,13.7,11.1,,F4320332178,False
Agència de Gestió d'Ajuts Universitaris i de Recerca,Spain,344,47,30,13.7,8.7,,F4320334830,False
Guangdong Medical Research Foundation,China,139,19,6,13.7,4.3,,F4320322161,False
United States Agency for International Development,USA,424,58,31,13.7,7.3,,F4320306115,False
Biogen,USA,241,33,42,13.7,17.4,,F4320308604,False
Westfälische Wilhelms-Universität Münster,Germany,153,21,22,13.7,14.4,,F4320322957,False
Aarhus Universitet,Denmark,220,30,25,13.6,11.4,,F4320309928,False
Uppsala Universitet,Sweden,546,74,54,13.6,9.9,,F4320324119,False
Qatar National Research Fund,QA,125,17,2,13.6,1.6,,F4320332753,False
Peking Union Medical College,China,125,17,8,13.6,6.4,,F4320326853,False
Irish Research Council,Ireland,213,29,9,13.6,4.2,government,F4320321056,True
Versus Arthritis,UK,176,24,17,13.6,9.7,,F4320327444,False
Centre Scientifique et Technique du Bâtiment,France,207,28,4,13.5,1.9,,F4320327639,False
"West China Hospital, Sichuan University",China,347,47,13,13.5,3.7,,F4320336042,False
National College Students Innovation and Entrepreneurship Training Program,China,104,14,4,13.5,3.8,,F4320336008,False
Innovate UK,UK,193,26,18,13.5,9.3,,F4320335087,False
Eusko Jaurlaritza,Spain,282,38,23,13.5,8.2,,F4320321705,False
Key Technology Research and Development Program of Shandong,China,357,48,8,13.4,2.2,,F4320333596,False
University of Melbourne,Australia,231,31,22,13.4,9.5,,F4320320974,False
Research to Prevent Blindness,USA,268,36,18,13.4,6.7,,F4320306811,False
Fundacao para a Ciencia e a Tecnologia,Portugal,1965,264,131,13.4,6.7,government,F4320334779,True
Umeå Universitet,Sweden,294,39,21,13.3,7.1,,F4320322971,False
Anhui Medical University,China,195,26,11,13.3,5.6,,F4320321603,False
Yonsei University,Korea,143,19,8,13.3,5.6,,F4320321314,False
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,Brazil,1743,232,91,13.3,5.2,government,F4320320997,True
Universität Ulm,Germany,165,22,9,13.3,5.5,,F4320325530,False
Universitat Autònoma de Barcelona,Spain,106,14,6,13.2,5.7,,F4320326826,False
Ain Shams University,EG,302,40,8,13.2,2.6,,F4320321119,False
Natural Science Foundation of Jiangxi Province,China,454,60,14,13.2,3.1,,F4320322665,False
Universidad de Granada,Spain,144,19,8,13.2,5.6,,F4320323834,False
Lietuvos Mokslo Taryba,LT,219,29,6,13.2,2.7,,F4320322689,False
Vedecká Grantová Agentúra MŠVVaŠ SR a SAV,SK,235,31,12,13.2,5.1,,F4320323641,False
Division of Graduate Education,USA,212,28,21,13.2,9.9,,F4320337368,False
Tongji University,China,151,20,6,13.2,4.0,,F4320322449,False
British Heart Foundation,UK,807,106,95,13.1,11.8,government,F4320319992,True
Österreichische Forschungsförderungsgesellschaft,Austria,236,31,19,13.1,8.1,,F4320323031,False
Russian Science Foundation,Russia,1587,208,47,13.1,3.0,government,F4320324099,True
Natural Science Foundation of Gansu Province,China,260,34,6,13.1,2.3,,F4320322880,False
Government of Jiangsu Province,China,1235,162,33,13.1,2.7,,F4320321605,False
Science and Technology Program of Guizhou Province,China,169,22,7,13.0,4.1,,F4320336617,False
Università degli Studi di Torino,Italy,138,18,5,13.0,3.6,,F4320324041,False
National Research Foundation,South Africa,3161,411,173,13.0,5.5,,F4320320671,False
State Administration of Traditional Chinese Medicine of the People's Republic of China,China,108,14,1,13.0,0.9,,F4320323484,False
University of Alberta,Canada,132,17,13,12.9,9.8,,F4320319946,False
Health~Holland,Netherlands,101,13,13,12.9,12.9,,F4320316279,False
Department of Science and Technology of Jilin Province,China,225,29,6,12.9,2.7,,F4320327282,False
"National Fund for Scientific and Technological Development (FONDECYT, Chile)",CL,225,29,10,12.9,4.4,,F4320338073,False
National Key Research and Development Program,China,10383,1328,397,12.8,3.8,government,F4320335777,True
"Chief Scientist Office, Scottish Government Health and Social Care Directorate",UK,156,20,26,12.8,16.7,,F4320333685,False
Rio de Janeiro Research Foundation (FAPERJ),Brazil,534,68,25,12.7,4.7,,F4320322749,False
Slovak Research and Development Agency (APVV),SK,330,42,18,12.7,5.5,,F4320323251,False
Patient-Centered Outcomes Research Institute,USA,110,14,5,12.7,4.5,,F4320308927,False
National Natural Science Foundation of China,China,47356,6018,1761,12.7,3.7,government,F4320321001,True
Alzheimer's Association,USA,465,59,63,12.7,13.5,,F4320306219,False
"Ministry of Education, India",India,495,63,25,12.7,5.1,,F4320322724,False
Technische Universität Dresden,Germany,286,36,27,12.6,9.4,,F4320321613,False
Fundamental Research Funds for the Central Universities,China,3155,396,166,12.6,5.3,,F4320335787,False
Københavns Universitet,Denmark,342,43,27,12.6,7.9,,F4320320945,False
National Science and Technology Major Project,China,224,28,10,12.5,4.5,,F4320329860,False
Cambridge Trust,UK,104,13,16,12.5,15.4,,F4320321848,False
People's Government of Jilin Province,China,433,54,12,12.5,2.8,,F4320322174,False
University of Otago,New Zealand,104,13,14,12.5,13.5,,F4320310371,False
Ministry of Science and Higher Education of the Russian Federation,Russia,665,83,23,12.5,3.5,,F4320327494,False
Universidad Complutense de Madrid,Spain,104,13,2,12.5,1.9,,F4320321585,False
University of Nottingham,UK,105,13,12,12.4,11.4,,F4320320324,False
Yonsei University College of Medicine,Korea,113,14,7,12.4,6.2,,F4320335295,False
Central South University,China,225,28,14,12.4,6.2,,F4320321514,False
Hjärnfonden,Sweden,217,27,19,12.4,8.8,,F4320322168,False
Karolinska Institute,Sweden,1109,137,104,12.4,9.4,government,F4320322315,True
Medizinische Universität Wien,Austria,266,33,12,12.4,4.5,,F4320323437,False
National Council for Scientific and Technological Development (CNPq),Brazil,3479,433,181,12.4,5.2,,F4320322025,False
Nanjing University,China,186,23,11,12.4,5.9,,F4320324852,False
Basic and Applied Basic Research Foundation of Guangdong Province,China,1736,215,63,12.4,3.6,,F4320337111,False
Universitetet i Tromsø,Norway,169,21,9,12.4,5.3,,F4320309820,False
Zhejiang Provincial Natural Science Foundation,China,1499,185,57,12.3,3.8,government,F4320338464,True
Università di Pisa,Italy,106,13,7,12.3,6.6,,F4320324499,False
Hrvatska Zaklada za Znanost,HR,325,40,11,12.3,3.4,,F4320322674,False
Kræftens Bekæmpelse,Denmark,106,13,6,12.3,5.7,,F4320310455,False
National Outstanding Youth Science Fund Project of National Natural Science Foundation of China,China,374,46,21,12.3,5.6,,F4320333688,False
Natural Science Foundation of Inner Mongolia,China,220,27,6,12.3,2.7,,F4320322868,False
Innovation and Technology Commission,Hong Kong,131,16,18,12.2,13.7,,F4320321920,False
Natural Science Basic Research Program of Shaanxi Province,China,237,29,12,12.2,5.1,,F4320336567,False
Fogarty International Center,USA,436,53,33,12.2,7.6,government,F4320337356,True
National Science Fund for Distinguished Young Scholars,China,173,21,6,12.1,3.5,,F4320336125,False
Department of Science and Technology of Sichuan Province,China,406,49,13,12.1,3.2,,F4320322922,False
Natural Science Foundation of Heilongjiang Province,China,390,47,14,12.1,3.6,,F4320323085,False
International Development Research Centre,Canada,149,18,11,12.1,7.4,,F4320319949,False
Korea Basic Science Institute,Korea,173,21,3,12.1,1.7,,F4320322111,False
National Taiwan University,Taiwan,233,28,15,12.0,6.4,,F4320323900,False
Sichuan Province Science and Technology Support Program,China,325,39,7,12.0,2.2,,F4320333335,False
Copenhagen Graduate School for Nanoscience and Nanotechnology,Denmark,334,40,25,12.0,7.5,,F4320323939,False
Sanming Project of Medicine in Shenzhen,China,274,33,11,12.0,4.0,,F4320335767,False
Japan Science and Technology Corporation,Japan,126,15,15,11.9,11.9,,F4320320907,False
"Xiangya Hospital, Central South University",China,101,12,4,11.9,4.0,,F4320335740,False
European Space Agency,France,109,13,15,11.9,13.8,,F4320318240,False
Eli Lilly and Company,USA,512,61,55,11.9,10.7,,F4320307758,False
Medizinische Universität Graz,Austria,109,13,7,11.9,6.4,,F4320326239,False
"Research Grants Council, University Grants Committee",Hong Kong,253,30,25,11.9,9.9,,F4320321592,False
Natural Science Foundation of Henan Province,China,794,94,23,11.8,2.9,,F4320323845,False
Prince of Songkla University,Thailand,102,12,1,11.8,1.0,,F4320322692,False
National Health Research Institutes,Taiwan,246,29,11,11.8,4.5,,F4320322845,False
Natural Science Foundation of Anhui Province,China,376,44,15,11.7,4.0,,F4320334897,False
Henan Provincial Science and Technology Research Project,China,291,34,9,11.7,3.1,,F4320336593,False
Department of Health and Social Care,UK,1111,130,118,11.7,10.6,,F4320319994,False
National Institute for Health Research,UK,3882,456,424,11.7,10.9,government,F4320319990,True
Jiangsu Provincial Key Research and Development Program,China,162,19,10,11.7,6.2,,F4320327777,False
AstraZeneca,UK,707,83,52,11.7,7.4,,F4320307770,False
Pfizer,USA,944,110,82,11.7,8.7,,F4320307765,False
Jilin University,China,146,17,4,11.6,2.7,,F4320322300,False
University of Leeds,UK,147,17,16,11.6,10.9,,F4320320298,False
Natural Science Foundation of Shandong Province,China,2031,235,54,11.6,2.7,,F4320324174,False
Natural Science Foundation of Ningbo,China,215,25,10,11.6,4.7,,F4320332587,False
Universidade do Porto,Portugal,146,17,11,11.6,7.5,,F4320324086,False
"Division of Civil, Mechanical and Manufacturing Innovation",USA,146,17,19,11.6,13.0,,F4320337391,False
Natural Science Foundation of Jiangsu Province,China,1219,141,30,11.6,2.5,,F4320322769,False
Samsung,Korea,148,17,20,11.5,13.5,,F4320332195,False
Strong,USA,182,21,13,11.5,7.1,,F4320314997,False
RWTH Aachen University,Germany,209,24,23,11.5,11.0,,F4320324232,False
Göteborgs Universitet,Sweden,452,52,34,11.5,7.5,,F4320323421,False
Lunds Universitet,Sweden,543,62,48,11.4,8.8,,F4320321806,False
Monash University,Australia,281,32,18,11.4,6.4,,F4320320971,False
Beijing Nova Program,China,210,24,12,11.4,5.7,,F4320334978,False
Natural Science Foundation of Sichuan Province,China,572,65,17,11.4,3.0,,F4320329861,False
Jiangsu Commission of Health,China,175,20,3,11.4,1.7,,F4320317802,False
Health and Medical Research Fund,Hong Kong,193,22,15,11.4,7.8,,F4320335055,False
Gilead Sciences,USA,341,39,22,11.4,6.5,,F4320308573,False
Innovationsfonden,Denmark,140,16,12,11.4,8.6,,F4320313796,False
South African Medical Research Council,South Africa,309,35,18,11.3,5.8,government,F4320320672,True
