funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
Centro Nacional de Biotecnología,Spain,213,50,5,23.5,2.3,,F4320338266,False,8,205,630,50.0,23.5,23.5,23.5
Akademie Věd České Republiky,Czech Republic,1542,363,65,23.5,4.2,,F4320322482,False,72,1470,14674,363.0,23.5,23.5,23.5
Teagasc,Ireland,457,107,16,23.4,3.5,,F4320320849,False,20,437,2880,107.0,23.4,23.4,23.4
Oklahoma Agricultural Experiment Station,USA,145,34,2,23.4,1.4,,F4320332866,False,5,140,2337,34.0,23.4,23.4,23.4
American Society of Mammalogists,USA,111,26,8,23.4,7.2,,F4320312020,False,5,106,1236,26.0,23.4,23.4,23.4
Alex's Lemonade Stand Foundation for Childhood Cancer,USA,508,119,50,23.4,9.8,,F4320306589,False,28,480,1636,119.0,23.4,23.4,23.4
Japan Agency for Marine-Earth Science and Technology,Japan,253,59,12,23.3,4.7,,F4320334896,False,12,241,4010,59.0,23.3,23.3,23.3
"Helsinki Institute of Life Science, Helsingin Yliopisto",Finland,348,81,27,23.3,7.8,,F4320333873,False,37,311,937,81.0,23.3,23.3,23.3
Institut Curie,France,103,24,13,23.3,12.6,,F4320326454,False,5,98,328,24.0,23.3,23.3,23.3
Institut National de la Recherche Agronomique,France,3483,812,171,23.3,4.9,,F4320323910,False,18,3465,19904,812.0,23.3,23.3,23.3
Pershing Square Sohn Cancer Research Alliance,USA,112,26,18,23.2,16.1,,F4320314931,False,4,108,395,26.0,23.2,23.2,23.2
State Key Laboratory of Infectious Disease Prevention and Control,China,289,67,1,23.2,0.3,,F4320336343,False,7,282,507,67.0,23.2,23.2,23.2
National Center for Genetic Engineering and Biotechnology,Thailand,246,57,7,23.2,2.8,,F4320326787,False,9,237,1510,57.0,23.2,23.2,23.2
Atlantic Canada Opportunities Agency,Canada,155,36,4,23.2,2.6,,F4320323028,False,3,152,1407,36.0,23.2,23.2,23.2
SLAC National Accelerator Laboratory,USA,733,170,28,23.2,3.8,,F4320338381,False,34,699,9185,170.0,23.2,23.2,23.2
Jilin Agricultural University,China,151,35,2,23.2,1.3,,F4320324636,False,10,141,641,35.0,23.2,23.2,23.2
Ludwig Institute for Cancer Research,USA,712,165,49,23.2,6.9,,F4320311496,False,24,688,3377,165.0,23.2,23.2,23.2
Grains Research and Development Corporation,Australia,802,185,64,23.1,8.0,,F4320320420,False,21,781,5369,185.0,23.1,23.1,23.1
Netherlands eScience Center,Netherlands,117,27,34,23.1,29.1,,F4320314239,False,6,111,692,27.0,23.1,23.1,23.1
Woods Hole Oceanographic Institution,USA,221,51,12,23.1,5.4,,F4320308861,False,4,217,5848,51.0,23.1,23.1,23.1
Genome Alberta,Canada,281,65,24,23.1,8.5,,F4320326646,False,6,275,856,65.0,23.1,23.1,23.1
Pirbright Institute,UK,269,62,7,23.0,2.6,,F4320320354,False,12,257,522,62.0,23.0,23.0,23.0
Shandong Academy of Agricultural Sciences,China,282,65,5,23.0,1.8,,F4320328723,False,14,268,874,65.0,23.0,23.0,23.0
Nature,UK,466,107,29,23.0,6.2,,F4320330944,False,23,443,4810,107.0,23.0,23.0,23.0
Veterinärmedizinische Universität Wien,Austria,513,118,18,23.0,3.5,,F4320325611,False,47,466,1121,118.0,23.0,23.0,23.0
Florida Department of Agriculture and Consumer Services,USA,135,31,10,23.0,7.4,,F4320312834,False,7,128,1459,31.0,23.0,23.0,23.0
Fisher Center for Alzheimer's Research Foundation,USA,109,25,4,22.9,3.7,,F4320306696,False,20,89,379,25.0,22.9,22.9,22.9
Fred Hutchinson Cancer Research Center,USA,462,106,76,22.9,16.5,,F4320308793,False,21,441,1776,106.0,22.9,22.9,22.9
National Psoriasis Foundation,USA,201,46,10,22.9,5.0,,F4320307379,False,9,192,683,46.0,22.9,22.9,22.9
University of California Institute for Mexico and the United States,USA,179,41,22,22.9,12.3,,F4320308797,False,5,174,1254,41.0,22.9,22.9,22.9
Foundation for Research in Science and the Humanities,Switzerland,118,27,10,22.9,8.5,,F4320333336,False,4,114,399,27.0,22.9,22.9,22.9
Skolkovo Institute of Science and Technology,Russia,158,36,16,22.8,10.1,,F4320324442,False,6,152,1094,36.0,22.8,22.8,22.8
"Kunming Institute of Zoology, Chinese Academy of Sciences",China,216,49,11,22.7,5.1,,F4320335650,False,5,211,645,49.0,22.7,22.7,22.7
NOMIS Stiftung,Switzerland,286,65,50,22.7,17.5,,F4320325162,False,22,264,844,65.0,22.7,22.7,22.7
European Hematology Association,Netherlands,150,34,12,22.7,8.0,,F4320310646,False,6,144,411,34.0,22.7,22.7,22.7
Ovarian Cancer Research Alliance,USA,110,25,15,22.7,13.6,,F4320314727,False,7,103,314,25.0,22.7,22.7,22.7
Poliomyelitis Research Foundation,South Africa,269,61,6,22.7,2.2,,F4320320673,False,19,250,708,61.0,22.7,22.7,22.7
Alberta Agriculture and Forestry,Canada,132,30,9,22.7,6.8,,F4320313402,False,3,129,545,30.0,22.7,22.7,22.7
SystemsX.ch,Switzerland,543,123,62,22.7,11.4,,F4320327577,False,4,539,1272,123.0,22.7,22.7,22.7
Canton de Genève,Switzerland,128,29,6,22.7,4.7,,F4320327233,False,4,124,609,29.0,22.7,22.7,22.7
Gatsby Charitable Foundation,UK,710,161,113,22.7,15.9,,F4320320033,False,15,695,2503,161.0,22.7,22.7,22.7
Science and Technology Major Project of Inner Mongolia,China,133,30,4,22.6,3.0,,F4320331106,False,14,119,599,30.0,22.6,22.6,22.6
Huazhong Agricultural University,China,1040,235,32,22.6,3.1,,F4320324775,False,51,989,3262,235.0,22.6,22.6,22.6
South China Agricultural University,China,545,123,9,22.6,1.7,,F4320327658,False,31,514,1915,123.0,22.6,22.6,22.6
Rally Foundation,USA,124,28,9,22.6,7.3,,F4320307428,False,8,116,400,28.0,22.6,22.6,22.6
Pacific Northwest National Laboratory,USA,899,203,62,22.6,6.9,,F4320338354,False,39,860,12712,203.0,22.6,22.6,22.6
Aberystwyth University,UK,177,40,13,22.6,7.3,,F4320320032,False,6,171,1721,40.0,22.6,22.6,22.6
Oklahoma State University,USA,393,89,21,22.6,5.3,,F4320309482,False,16,377,7526,89.0,22.6,22.6,22.6
"Office of Research Infrastructure Programs, National Institutes of Health",USA,997,224,78,22.5,7.8,,F4320337901,False,43,954,2552,224.0,22.5,22.5,22.5
New Mexico State University,USA,151,34,9,22.5,6.0,,F4320311400,False,5,146,5986,34.0,22.5,22.5,22.5
Washington Research Foundation,USA,236,53,42,22.5,17.8,,F4320306854,False,9,227,1111,53.0,22.5,22.5,22.5
Stiftelsen Lars Hiertas Minne,Sweden,246,55,12,22.4,4.9,,F4320322833,False,12,234,881,55.0,22.4,22.4,22.4
Kansas IDeA Network of Biomedical Research Excellence,USA,112,25,9,22.3,8.0,,F4320318255,False,1,111,350,25.0,22.3,22.3,22.3
Dr. Rolf M. Schwiete Stiftung,Germany,121,27,12,22.3,9.9,,F4320330696,False,17,104,250,27.0,22.3,22.3,22.3
Citrus Research and Development Foundation,USA,157,35,1,22.3,0.6,,F4320309892,False,3,154,552,35.0,22.3,22.3,22.3
Bundesinstitut für Risikobewertung,Germany,293,65,14,22.2,4.8,,F4320335333,False,13,280,923,65.0,22.2,22.2,22.2
BC Cancer Foundation,Canada,198,44,15,22.2,7.6,,F4320329172,False,14,184,546,44.0,22.2,22.2,22.2
Modern Agricultural Technology Industry System of Shandong province,China,532,118,11,22.2,2.1,,F4320336332,False,40,492,1463,118.0,22.2,22.2,22.2
Tartu Ülikool,EE,482,107,56,22.2,11.6,,F4320324717,False,27,455,2839,107.0,22.2,22.2,22.2
Joachim Herz Stiftung,Germany,334,74,57,22.2,17.1,,F4320310697,False,29,305,1081,74.0,22.2,22.2,22.2
United States Department of Agriculture,USA,18516,4110,948,22.2,5.1,government,F4320306114,True,585,17931,150565,4110.0,22.2,22.2,22.2
Gansu Agricultural University,China,417,92,6,22.1,1.4,,F4320324782,False,37,380,1248,92.0,22.1,22.1,22.1
Special Fund for Agro-scientific Research in the Public Interest,China,1328,294,3,22.1,0.2,,F4320335448,False,3,1325,5217,294.0,22.1,22.1,22.1
Terry Fox Research Institute,Canada,371,82,44,22.1,11.9,,F4320322597,False,16,355,1228,82.0,22.1,22.1,22.1
Breast Cancer Alliance,USA,122,27,9,22.1,7.4,,F4320306632,False,7,115,522,27.0,22.1,22.1,22.1
New York State Stem Cell Science,USA,366,81,17,22.1,4.6,,F4320313691,False,11,355,1165,81.0,22.1,22.1,22.1
Lister Institute of Preventive Medicine,UK,521,115,45,22.1,8.6,,F4320320615,False,34,487,2049,115.0,22.1,22.1,22.1
Labex,Sweden,177,39,11,22.0,6.2,,F4320322364,False,0,177,2004,39.0,22.0,22.0,22.0
Alabama Agricultural Experiment Station,USA,123,27,10,22.0,8.1,,F4320332725,False,5,118,1306,27.0,22.0,22.0,22.0
Instituto Nacional de Medicina Genómica,Mexico,141,31,16,22.0,11.3,,F4320327956,False,11,130,291,31.0,22.0,22.0,22.0
National Institute of Food and Agriculture,USA,9436,2080,629,22.0,6.7,,F4320332299,False,408,9028,50397,2080.0,22.0,22.0,22.0
Sichuan Agricultural University,China,486,107,5,22.0,1.0,,F4320325065,False,20,466,2082,107.0,22.0,22.0,22.0
Emerson Collective,USA,123,27,18,22.0,14.6,,F4320318896,False,15,108,346,27.0,22.0,22.0,22.0
NIHR BioResource,UK,178,39,25,21.9,14.0,,F4320334175,False,15,163,415,39.0,21.9,21.9,21.9
Stand Up To Cancer,USA,718,157,73,21.9,10.2,,F4320332898,False,36,682,2210,157.0,21.9,21.9,21.9
Fiskeri - og havbruksnæringens forskningsfond,Norway,137,30,5,21.9,3.6,,F4320326261,False,6,131,603,30.0,21.9,21.9,21.9
Horserace Betting Levy Board,UK,128,28,3,21.9,2.3,,F4320320638,False,7,121,1094,28.0,21.9,21.9,21.9
Florida Fish and Wildlife Conservation Commission,USA,160,35,10,21.9,6.2,,F4320309169,False,8,152,1586,35.0,21.9,21.9,21.9
École Normale Supérieure,France,105,23,16,21.9,15.2,,F4320309966,False,6,99,1138,23.0,21.9,21.9,21.9
National Center of Competence in Research Chemical Biology,Switzerland,155,34,14,21.9,9.0,,F4320331353,False,7,148,725,34.0,21.9,21.9,21.9
Dermatology Foundation,USA,178,39,7,21.9,3.9,,F4320306673,False,4,174,1368,39.0,21.9,21.9,21.9
State Oceanic Administration,China,137,30,1,21.9,0.7,,F4320334950,False,0,137,1799,30.0,21.9,21.9,21.9
Instituto Chico Mendes de Conservação da Biodiversidade,Brazil,333,73,20,21.9,6.0,,F4320335425,False,11,322,3924,73.0,21.9,21.9,21.9
