pmid,pmcid,doi,oddpub_category,text_source,char_len
38876995,PMC11178848,10.1038/s41597-024-03474-y,"unknown/misspecified source, supplement",mineru_md,38478
38879569,PMC11180164,10.1038/s41597-024-03473-z,,mineru_md,23856
38879585,PMC11180113,10.1038/s41597-024-03366-1,,mineru_md,80021
38879616,PMC11180130,10.1038/s41597-024-03482-y,"upon request, supplement",mineru_md,53759
38886401,PMC11183078,10.1038/s41597-024-03308-x,,mineru_md,33387
38909019,PMC11193711,10.1038/s41597-024-03535-2,supplement,mineru_md,67235
38909049,PMC11193783,10.1038/s41597-024-03494-8,unknown/misspecified source,mineru_md,50120
38909061,PMC11193726,10.1038/s41597-024-03509-4,unknown/misspecified source,mineru_md,38954
38909069,PMC11193709,10.1038/s41597-024-03501-y,"unknown/misspecified source, supplement",mineru_md,47262
38914542,PMC11196658,10.1038/s41597-024-03510-x,github,mineru_md,55446
38918474,PMC11199488,10.1038/s41597-024-03536-1,re-use,mineru_md,50669
38937469,PMC11211408,10.1038/s41597-024-03551-2,unknown/misspecified source,mineru_md,50421
38937480,PMC11211438,10.1038/s41597-024-03484-w,unknown/misspecified source,mineru_md,61945
38937491,PMC11211393,10.1038/s41597-024-03472-0,,mineru_md,80021
38937514,PMC11211436,10.1038/s41597-024-03462-2,,mineru_md,29435
38951502,PMC11217459,10.1038/s41597-024-03552-1,unknown/misspecified source,mineru_md,32104
38956054,PMC11219831,10.1038/s41597-024-03574-9,github,mineru_md,35433
38956094,PMC11220054,10.1038/s41597-024-03553-0,unknown/misspecified source,mineru_md,62857
38956122,PMC11219795,10.1038/s41597-024-03530-7,github,mineru_md,80021
38961122,PMC11222379,10.1038/s41597-024-03573-w,,mineru_md,43644
38971846,PMC11227503,10.1038/s41597-024-03577-6,,mineru_md,66950
38972884,PMC11228048,10.1038/s41597-024-03562-z,re-use,mineru_md,72219
38972916,PMC11228016,10.1038/s41597-024-03576-7,,mineru_md,53019
38982093,PMC11233584,10.1038/s41597-024-03540-5,github,mineru_md,69667
38982138,PMC11233633,10.1038/s41597-024-03612-6,,mineru_md,39099
38987528,PMC11237020,10.1038/s41597-024-03575-8,github,mineru_md,51993
38987534,PMC11237068,10.1038/s41597-024-03580-x,unknown/misspecified source,mineru_md,80021
38987561,PMC11237097,10.1038/s41597-024-03524-5,,mineru_md,80021
